Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg16,L0,102,28387584,136755,3,21937.1,2.76615e+12,2.17393e+07,6,1.00901,6,1,6,110,54,1,1,150528,1728,6.22741e+11,85162752,124.675,19.0026,0.3795,2.17392e+07,85162752, 28641627, 28641627, 150528, 2.97339, 85162752, 1728, 1728, 1728, 49284, 85162752, 85162752, 3154176, 3154176, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 3, 3
vgg16,L1,102,28387584,2.78561e+06,64,22975.2,2.76615e+12,2.17393e+07,128,21.5255,128,1,128,2306,54,1,1,3211264,36864,6.52211e+11,1816805376,124.675,19.0026,7.9557,2.17392e+07,1816805376, 611021376, 611021376, 3211264, 2.97339, 1816805376, 36864, 36864, 36864, 49284, 1816805376, 1816805376, 3154176, 3154176, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 64, 3
vgg16,L2,102,13939200,4.35052e+06,64,14710.9,2.76615e+12,2.17393e+07,128,21.7213,128,1,128,2306,54,1,1,802816,73728,2.05058e+11,892108800,124.675,19.0026,7.9557,2.17392e+07,892108800, 302703168, 302703168, 802816, 2.94714, 892108800, 73728, 73728, 73728, 12100, 892108800, 892108800, 1548800, 1548800, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 64, 3
vgg16,L3,102,27878400,4.10886e+06,64,15576.1,2.76615e+12,2.17393e+07,128,21.7239,128,1,128,2306,54,1,1,1605632,147456,4.34236e+11,1784217600,124.675,19.0026,7.9557,2.17392e+07,1784217600, 605479488, 605479488, 1605632, 2.94678, 1784217600, 147456, 147456, 147456, 12100, 1784217600, 1784217600, 1548800, 3097600, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 64, 3
vgg16,L4,102,13436928,4.27412e+06,64,14973.9,2.76615e+12,2.17393e+07,128,22.1345,128,1,128,2306,54,1,1,401408,294912,2.01203e+11,859963392,124.675,19.0026,7.9557,2.17392e+07,859963392, 297124416, 297124416, 401408, 2.89429, 859963392, 294912, 294912, 294912, 2916, 859963392, 859963392, 746496, 1492992, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 64, 3
vgg16,L5,102,26873856,4.00954e+06,64,15961.9,2.76615e+12,2.17393e+07,128,22.1399,128,1,128,2306,54,1,1,802816,589824,4.28959e+11,1719926784,124.675,19.0026,7.9557,2.17392e+07,1719926784, 594395712, 594395712, 802816, 2.89357, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 2985984, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 64, 3
vgg16,L6,102,26873856,5.45368e+06,64,11735.2,2.76615e+12,2.17393e+07,128,22.1399,128,1,128,2306,54,1,1,802816,589824,3.1537e+11,1719926784,124.675,19.0026,7.9557,2.17392e+07,1719926784, 594395712, 594395712, 802816, 2.89357, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 2985984, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 64, 3
vgg16,L7,102,12460032,4.12913e+06,64,15499.6,2.76615e+12,2.17393e+07,128,23.0454,128,1,128,2306,54,1,1,200704,1179648,1.93126e+11,797442048,124.675,19.0026,7.9557,2.17392e+07,797442048, 285966912, 285966912, 200704, 2.78858, 797442048, 1179648, 1179648, 1179648, 676, 797442048, 797442048, 346112, 1384448, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 64, 3
vgg16,L8,102,24920064,3.82655e+06,64,16725.2,2.76615e+12,2.17393e+07,128,23.0572,128,1,128,2306,54,1,1,401408,2359296,4.16794e+11,1594884096,124.675,19.0026,7.9557,2.17392e+07,1594884096, 572228160, 572228160, 401408, 2.78715, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 2768896, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 64, 3
vgg16,L9,102,24920064,5.17015e+06,64,12378.8,2.76615e+12,2.17393e+07,128,23.0572,128,1,128,2306,54,1,1,401408,2359296,3.08479e+11,1594884096,124.675,19.0026,7.9557,2.17392e+07,1594884096, 572228160, 572228160, 401408, 2.78715, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 2768896, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 64, 3
vgg16,L10,102,5308416,3.27448e+06,64,19545.1,2.76615e+12,2.17393e+07,128,25.2779,128,1,128,2306,54,1,1,100352,2359296,1.03753e+11,339738624,124.675,19.0026,7.9557,2.17392e+07,339738624, 131826240, 131826240, 100352, 2.57717, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 589824, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 64, 3
vgg16,L11,102,5308416,1.16436e+06,64,54966,2.76615e+12,2.17393e+07,128,25.2779,128,1,128,2306,54,1,1,100352,2359296,2.91782e+11,339738624,124.675,19.0026,7.9557,2.17392e+07,339738624, 131826240, 131826240, 100352, 2.57717, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 589824, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 64, 3
vgg16,L12,102,5308416,1.16436e+06,64,54966,2.76615e+12,2.17393e+07,128,25.2779,128,1,128,2306,54,1,1,100352,2359296,2.91782e+11,339738624,124.675,19.0026,7.9557,2.17392e+07,339738624, 131826240, 131826240, 100352, 2.57717, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 589824, 1, 0, 0, 0, 0, 0, 0, 9, 9, 9, 64, 3
vgg16,L13,102,320,577220,64,110876,2.76615e+12,2.17393e+07,128,126.2,128,1,128,258,6,1,1,2048,20480,3.54804e+07,20480,124.675,2.1114,0.8901,2.17392e+07,20480, 19904, 19904, 2048, 1.02894, 20480, 20480, 20480, 20480, 1, 20480, 20480, 10, 320, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 64, 0.5
