DSE index,layers,latency,area,power,energy,restraint
0,14,13767452.069215646,668445823.7824475,157.01022636165797,5024686.966886007,pass
1,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
2,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
3,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
4,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
5,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
6,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
7,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
8,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
9,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
10,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
11,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
12,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
13,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
14,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
15,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
16,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
17,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
18,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
19,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
20,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
21,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
22,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
23,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
24,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
25,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
26,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
27,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
28,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
29,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
30,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
31,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
32,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
33,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
34,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
35,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
36,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
37,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
38,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
39,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
40,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
41,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
42,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
43,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
44,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
45,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
46,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
47,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
48,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
49,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
50,6,10178355.870817471,204247335.0446367,41.022450950340826,2936612.0661119167,pass
