DSE index,layers,latency,energy,area,power,"HW (pes, bw)",restraint
0,16,7161960.0,22404063.0,410461000000000.0,3225770000.0,4096 64,pass
1,6,1919880.0,4552020.7,25690900000000.0,201903000.0,1024 16,pass
2,6,1919880.0,4552020.7,32113400000000.0,252378000.0,1024 20,pass
3,6,1919880.0,4552020.7,38536000000000.0,302853000.0,1024 24,pass
4,6,1919880.0,4552020.7,44958600000000.0,353328000.0,1024 28,pass
5,6,1919880.0,4552020.7,51381200000000.0,403803500.0,1024 32,pass
6,6,1919880.0,4552020.7,57803700000000.0,454279000.0,1024 36,pass
7,6,1919880.0,4552020.7,64226300000000.0,504754000.0,1024 40,pass
8,6,1919880.0,4552020.7,70648900000000.0,555229000.0,1024 44,pass
9,6,1919880.0,4552020.7,77071500000000.0,605704000.0,1024 48,pass
10,5,1297800.0,2013820.7,25690900000000.0,201903000.0,1024 16,unexamined
