DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,16,12553133.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,24 64,pass
1,5,1777843.3313766397,389990951.8462722,267.9132532921586,9466428.399925591,6 48,pass
2,5,1778611.3313766397,389990951.8462722,267.9132532921586,9466428.399925591,6 44,pass
3,5,1779532.9313766398,389990951.8462722,267.9132532921586,9466428.399925591,6 40,pass
4,5,1780659.3313766397,389990951.8462722,267.9132532921586,9466428.399925591,6 36,pass
5,5,1782067.3313766397,389990951.8462722,267.9132532921586,9466428.399925591,6 32,pass
6,5,1783877.617090925,389990951.8462722,267.9132532921586,9466428.399925591,6 28,pass
7,5,1786291.3313766397,389990951.8462722,267.9132532921586,9466428.399925591,6 24,pass
8,5,1789670.5313766396,389990951.8462722,267.9132532921586,9466428.399925591,6 20,pass
9,5,1794739.3313766397,389990951.8462722,267.9132532921586,9466428.399925591,6 16,pass
10,7,1854223.119166487,636985221.3489113,443.4311436589621,10489758.39064325,7 48,pass
11,7,1854991.119166487,636985221.3489113,443.4311436589621,10489758.39064325,7 44,pass
12,7,1855912.719166487,636985221.3489113,443.4311436589621,10489758.39064325,7 40,pass
13,7,1857039.119166487,636985221.3489113,443.4311436589621,10489758.39064325,7 36,pass
14,7,1858447.119166487,636985221.3489113,443.4311436589621,10489758.39064325,7 32,pass
15,7,1860257.4048807728,636985221.3489113,443.4311436589621,10489758.39064325,7 28,pass
16,7,1862671.119166487,636985221.3489113,443.4311436589621,10489758.39064325,7 24,pass
17,7,1866050.3191664869,636985221.3489113,443.4311436589621,10489758.39064325,7 20,pass
18,7,1871119.119166487,636985221.3489113,443.4311436589621,10489758.39064325,7 16,pass
19,8,1892413.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,8 48,pass
20,8,1893181.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,8 44,pass
21,8,1894102.6130614104,760482356.1002308,531.1900888423639,11001423.38600208,8 40,pass
22,8,1895229.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,8 36,pass
23,8,1896637.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,8 32,pass
24,8,1898447.298775696,760482356.1002308,531.1900888423639,11001423.38600208,8 28,pass
25,8,1900861.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,8 24,pass
26,8,1904240.2130614105,760482356.1002308,531.1900888423639,11001423.38600208,8 20,pass
27,8,1909309.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,8 16,pass
28,8,1892413.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,9 48,pass
29,8,1893181.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,9 44,pass
30,8,1894102.6130614104,760482356.1002308,531.1900888423639,11001423.38600208,9 40,pass
31,8,1895229.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,9 36,pass
32,8,1896637.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,9 32,pass
33,8,1898447.298775696,760482356.1002308,531.1900888423639,11001423.38600208,9 28,pass
34,8,1900861.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,9 24,pass
35,8,1904240.2130614105,760482356.1002308,531.1900888423639,11001423.38600208,9 20,pass
36,8,1909309.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,9 16,pass
37,8,1892413.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,10 48,pass
38,8,1893181.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,10 44,pass
39,8,1894102.6130614104,760482356.1002308,531.1900888423639,11001423.38600208,10 40,pass
40,8,1895229.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,10 36,pass
41,8,1896637.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,10 32,pass
42,8,1898447.298775696,760482356.1002308,531.1900888423639,11001423.38600208,10 28,pass
43,8,1900861.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,10 24,pass
44,8,1904240.2130614105,760482356.1002308,531.1900888423639,11001423.38600208,10 20,pass
45,8,1909309.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,10 16,pass
46,8,1892413.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,11 48,pass
47,8,1893181.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,11 44,pass
48,8,1894102.6130614104,760482356.1002308,531.1900888423639,11001423.38600208,11 40,pass
49,8,1895229.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,11 36,pass
50,8,1896637.0130614105,760482356.1002308,531.1900888423639,11001423.38600208,11 32,pass
51,8,1898447.298775696,760482356.1002308,531.1900888423639,11001423.38600208,11 28,pass
