DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,16,12553133.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,24 64,pass
1,0,0.0,0.0,0.0,0.0,6 48,fail
2,0,0.0,0.0,0.0,0.0,6 44,fail
3,0,0.0,0.0,0.0,0.0,6 40,fail
4,0,0.0,0.0,0.0,0.0,6 36,fail
5,0,0.0,0.0,0.0,0.0,6 32,fail
6,0,0.0,0.0,0.0,0.0,6 28,fail
7,0,0.0,0.0,0.0,0.0,6 24,fail
8,0,0.0,0.0,0.0,0.0,6 20,fail
9,0,0.0,0.0,0.0,0.0,6 16,fail
10,0,0.0,0.0,0.0,0.0,7 48,fail
11,0,0.0,0.0,0.0,0.0,7 44,fail
12,0,0.0,0.0,0.0,0.0,7 40,fail
13,0,0.0,0.0,0.0,0.0,7 36,fail
14,0,0.0,0.0,0.0,0.0,7 32,fail
15,0,0.0,0.0,0.0,0.0,7 28,fail
16,0,0.0,0.0,0.0,0.0,7 24,fail
17,0,0.0,0.0,0.0,0.0,7 20,fail
18,0,0.0,0.0,0.0,0.0,7 16,fail
19,0,0.0,0.0,0.0,0.0,8 48,fail
20,0,0.0,0.0,0.0,0.0,8 44,fail
21,0,0.0,0.0,0.0,0.0,8 40,fail
22,0,0.0,0.0,0.0,0.0,8 36,fail
23,0,0.0,0.0,0.0,0.0,8 32,fail
24,0,0.0,0.0,0.0,0.0,8 28,fail
25,0,0.0,0.0,0.0,0.0,8 24,fail
26,0,0.0,0.0,0.0,0.0,8 20,fail
27,0,0.0,0.0,0.0,0.0,8 16,fail
28,2,183201.04905342543,955477832.0233668,679.2252546214326,2911108.5167614887,9 48,fail
29,2,184876.6854170618,955477832.0233668,679.2252546214326,2911108.5167614887,9 44,fail
30,2,186887.44905342543,955477832.0233668,679.2252546214326,2911108.5167614887,9 40,fail
31,2,189345.04905342543,955477832.0233668,679.2252546214326,2911108.5167614887,9 36,fail
32,2,192417.04905342543,955477832.0233668,679.2252546214326,2911108.5167614887,9 32,fail
33,2,196366.76333913967,955477832.0233668,679.2252546214326,2911108.5167614887,9 28,fail
34,2,201633.04905342543,955477832.0233668,679.2252546214326,2911108.5167614887,9 24,fail
35,2,209005.84905342545,955477832.0233668,679.2252546214326,2911108.5167614887,9 20,fail
36,2,220065.04905342543,955477832.0233668,679.2252546214326,2911108.5167614887,9 16,fail
37,3,373048.62463312,1085474815.9721243,766.992962749932,4955564.531939677,10 48,pass
