DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,16,12553133.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,24 64,pass
1,2,341967.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,6 48,pass
2,2,342386.0602502981,253494118.70007697,175.5266533119012,4088797.121070704,6 44,pass
3,2,342888.75115938904,253494118.70007697,175.5266533119012,4088797.121070704,6 40,pass
4,2,343503.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,6 36,pass
5,2,344271.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,6 32,pass
6,2,345258.57973081764,253494118.70007697,175.5266533119012,4088797.121070704,6 28,pass
7,2,346575.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,6 24,pass
8,2,348418.3511593891,253494118.70007697,175.5266533119012,4088797.121070704,6 20,pass
9,2,351183.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,6 16,pass
10,2,341967.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,7 48,pass
11,2,342386.0602502981,253494118.70007697,175.5266533119012,4088797.121070704,7 44,pass
12,2,342888.75115938904,253494118.70007697,175.5266533119012,4088797.121070704,7 40,pass
13,2,343503.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,7 36,pass
14,2,344271.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,7 32,pass
15,2,345258.57973081764,253494118.70007697,175.5266533119012,4088797.121070704,7 28,pass
16,2,346575.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,7 24,pass
17,2,348418.3511593891,253494118.70007697,175.5266533119012,4088797.121070704,7 20,pass
18,2,351183.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,7 16,pass
19,2,341967.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,8 48,pass
20,2,342386.0602502981,253494118.70007697,175.5266533119012,4088797.121070704,8 44,pass
21,2,342888.75115938904,253494118.70007697,175.5266533119012,4088797.121070704,8 40,pass
22,2,343503.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,8 36,pass
23,2,344271.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,8 32,pass
24,2,345258.57973081764,253494118.70007697,175.5266533119012,4088797.121070704,8 28,pass
25,2,346575.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,8 24,pass
26,2,348418.3511593891,253494118.70007697,175.5266533119012,4088797.121070704,8 20,pass
27,2,351183.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,8 16,pass
28,2,341967.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,9 48,pass
29,2,342386.0602502981,253494118.70007697,175.5266533119012,4088797.121070704,9 44,pass
30,2,342888.75115938904,253494118.70007697,175.5266533119012,4088797.121070704,9 40,pass
31,2,343503.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,9 36,pass
32,2,344271.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,9 32,pass
33,2,345258.57973081764,253494118.70007697,175.5266533119012,4088797.121070704,9 28,pass
34,2,346575.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,9 24,pass
35,2,348418.3511593891,253494118.70007697,175.5266533119012,4088797.121070704,9 20,pass
36,2,351183.15115938906,253494118.70007697,175.5266533119012,4088797.121070704,9 16,pass
37,7,4369006.014125484,1241471196.7106333,868.626109378803,13773815.300716825,10 48,pass
38,7,4371868.55958003,1241471196.7106333,868.626109378803,13773815.300716825,10 44,pass
39,7,4375303.614125485,1241471196.7106333,868.626109378803,13773815.300716825,10 40,pass
40,7,4379502.014125484,1241471196.7106333,868.626109378803,13773815.300716825,10 36,pass
41,7,4384750.014125484,1241471196.7106333,868.626109378803,13773815.300716825,10 32,pass
42,7,4391497.442696913,1241471196.7106333,868.626109378803,13773815.300716825,10 28,pass
43,7,4400494.014125484,1241471196.7106333,868.626109378803,13773815.300716825,10 24,pass
44,7,4413089.214125485,1241471196.7106333,868.626109378803,13773815.300716825,10 20,pass
45,7,4431982.014125484,1241471196.7106333,868.626109378803,13773815.300716825,10 16,pass
46,9,4445385.801915332,1488465466.2132723,1044.1439997456064,14797145.291434482,11 48,pass
47,9,4448248.347369878,1488465466.2132723,1044.1439997456064,14797145.291434482,11 44,pass
48,9,4451683.401915332,1488465466.2132723,1044.1439997456064,14797145.291434482,11 40,pass
49,9,4455881.801915332,1488465466.2132723,1044.1439997456064,14797145.291434482,11 36,pass
50,9,4461129.801915332,1488465466.2132723,1044.1439997456064,14797145.291434482,11 32,pass
51,9,4467877.230486761,1488465466.2132723,1044.1439997456064,14797145.291434482,11 28,pass
52,9,4476873.801915332,1488465466.2132723,1044.1439997456064,14797145.291434482,11 24,pass
53,9,4489469.001915333,1488465466.2132723,1044.1439997456064,14797145.291434482,11 20,pass
54,9,4508361.801915332,1488465466.2132723,1044.1439997456064,14797145.291434482,11 16,pass
55,10,4483575.695810256,1611962600.964592,1131.9029449290083,15308810.28679331,12 48,pass
56,10,4486438.2412648015,1611962600.964592,1131.9029449290083,15308810.28679331,12 44,pass
57,10,4489873.295810256,1611962600.964592,1131.9029449290083,15308810.28679331,12 40,pass
58,10,4494071.695810256,1611962600.964592,1131.9029449290083,15308810.28679331,12 36,pass
59,10,4499319.695810256,1611962600.964592,1131.9029449290083,15308810.28679331,12 32,pass
60,10,4506067.124381685,1611962600.964592,1131.9029449290083,15308810.28679331,12 28,pass
61,10,4515063.695810256,1611962600.964592,1131.9029449290083,15308810.28679331,12 24,pass
62,10,4527658.895810257,1611962600.964592,1131.9029449290083,15308810.28679331,12 20,pass
63,10,4546551.695810256,1611962600.964592,1131.9029449290083,15308810.28679331,12 16,pass
64,14,10774702.0994281,2066952044.7852423,1445.976358050993,19174479.74837649,13 48,pass
65,14,10779484.644882644,2066952044.7852423,1445.976358050993,19174479.74837649,13 44,pass
66,14,10785223.699428098,2066952044.7852423,1445.976358050993,19174479.74837649,13 40,pass
67,14,10792238.0994281,2066952044.7852423,1445.976358050993,19174479.74837649,13 36,pass
68,14,10801006.0994281,2066952044.7852423,1445.976358050993,19174479.74837649,13 32,pass
69,14,10812279.24228524,2066952044.7852423,1445.976358050993,19174479.74837649,13 28,pass
70,14,10827310.0994281,2066952044.7852423,1445.976358050993,19174479.74837649,13 24,pass
71,14,10848353.299428096,2066952044.7852423,1445.976358050993,19174479.74837649,13 20,pass
72,14,10879918.0994281,2066952044.7852423,1445.976358050993,19174479.74837649,13 16,pass
73,16,12567629.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,14 48,fail
74,16,12572901.264179315,2281447068.300693,1594.1563213178515,19574433.005709708,14 44,fail
75,16,12579226.791452045,2281447068.300693,1594.1563213178515,19574433.005709708,14 40,fail
76,16,12586957.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,14 36,fail
77,16,12596621.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,14 32,fail
78,16,12609047.134309186,2281447068.300693,1594.1563213178515,19574433.005709708,14 28,fail
79,16,12625613.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,14 24,fail
80,16,12648807.591452042,2281447068.300693,1594.1563213178515,19574433.005709708,14 20,fail
81,16,12683597.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,14 16,fail
82,16,12567629.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,15 48,fail
83,16,12572901.264179315,2281447068.300693,1594.1563213178515,19574433.005709708,15 44,fail
84,16,12579226.791452045,2281447068.300693,1594.1563213178515,19574433.005709708,15 40,fail
85,16,12586957.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,15 36,fail
86,16,12596621.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,15 32,fail
87,16,12609047.134309186,2281447068.300693,1594.1563213178515,19574433.005709708,15 28,fail
88,16,12625613.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,15 24,fail
89,16,12648807.591452042,2281447068.300693,1594.1563213178515,19574433.005709708,15 20,fail
90,16,12683597.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,15 16,fail
91,16,12567629.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,16 48,fail
92,16,12572901.264179315,2281447068.300693,1594.1563213178515,19574433.005709708,16 44,fail
93,16,12579226.791452045,2281447068.300693,1594.1563213178515,19574433.005709708,16 40,fail
94,16,12586957.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,16 36,fail
95,16,12596621.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,16 32,fail
96,16,12609047.134309186,2281447068.300693,1594.1563213178515,19574433.005709708,16 28,fail
97,16,12625613.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,16 24,fail
98,16,12648807.591452042,2281447068.300693,1594.1563213178515,19574433.005709708,16 20,fail
99,16,12683597.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,16 16,fail
100,16,12567629.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,17 48,fail
101,16,12572901.264179315,2281447068.300693,1594.1563213178515,19574433.005709708,17 44,fail
102,16,12579226.791452045,2281447068.300693,1594.1563213178515,19574433.005709708,17 40,fail
103,16,12586957.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,17 36,fail
104,16,12596621.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,17 32,fail
105,16,12609047.134309186,2281447068.300693,1594.1563213178515,19574433.005709708,17 28,fail
106,16,12625613.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,17 24,fail
107,16,12648807.591452042,2281447068.300693,1594.1563213178515,19574433.005709708,17 20,fail
108,16,12683597.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,17 16,fail
109,16,12567629.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,18 48,fail
110,16,12572901.264179315,2281447068.300693,1594.1563213178515,19574433.005709708,18 44,fail
111,16,12579226.791452045,2281447068.300693,1594.1563213178515,19574433.005709708,18 40,fail
112,16,12586957.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,18 36,fail
113,16,12596621.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,18 32,fail
114,16,12609047.134309186,2281447068.300693,1594.1563213178515,19574433.005709708,18 28,fail
115,16,12625613.991452044,2281447068.300693,1594.1563213178515,19574433.005709708,18 24,fail
116,16,12648807.591452042,2281447068.300693,1594.1563213178515,19574433.005709708,18 20,fail
